Date CST,Suspected,Confirmed,Deaths,Recovered,Quarantined,Released,Total
2019-12-31,27,,,,,,
2020-01-03,44,,,,121,,
2020-01-05,59,,,,163,,
2020-01-10,,41,1,,,,
2020-01-11,,41,1,,717,46,763
2020-01-12,,41,1,,687,76,763
2020-01-13,,41,1,,576,187,763
2020-01-15,,,2,7,119,644,763
2020-01-16,,45,,12,98,665,763
2020-01-17,,62,2,15,82,681,763
2020-01-18,,121,,19,,,
2020-01-19,,198,3,25,90,727,817
2020-01-20,54,291,6,25,922,817,1739
2020-01-21,37,440,9,,1394,765,2159
2020-01-22,257,571,17,,4928,969,5897
2020-01-23,1072,830,25,,8420,1087,9507
2020-01-24,1965,1287,41,38,13967,1230,15197
2020-01-25,2684,1975,56,49,23431,325,21556
2020-01-26,5794,2744,80,51,32799,583,30453
2020-01-27,6973,4515,106,60,44132,914,47833
2020-01-28,9239,6061,132,103,59990,1604,65537
2020-01-29,12167,7771,170,124,81947,2364,88693
2020-01-30,15238,9692,213,171,102427,4201,113579
2020-01-31,17988,11791,259,243,118478,6509,136987
2020-02-01,19544,14380,304,328,137594,8044,163844
